experiment,settings,duration mean,duration min,duration 75%,duration median,duration 25%,duration max,duration std,duration variance,duration count,interval mean,interval min,interval 75%,interval median,interval 25%,interval max,interval std,interval variance,interval count
20170228-NO-3425,250-500 6 peaks (3 and 2),37.89686121133575,10.0,44.58333333,31.04166667,23.125,195.0,24.103261240290227,580.9672024176772,831,679.2597891520962,10.0,804.374999975,182.8125,55.9374999975,10698.75,1171.4369599617496,1372264.551164426,830
20170228-NO-3425,250-500 4 peaks (4 and 3),27.02937013450106,10.0,33.125,23.54166667,16.25,102.5,14.624217281949155,213.86773110966033,471,1239.9481382736594,10.0,1485.62500025,374.8958333,71.40625,15912.08333,2083.0388386180352,4339050.803191174,470
20170228-NO-3425,250-500 5 peaks (4 and 3),29.84009009010811,10.0,37.864583335,26.25,19.16666667,102.5,14.997121888391133,224.9136649352604,370,1583.296070458645,10.0,1947.708333,573.5416667,84.79166667,16984.79167,2484.042331882297,6170466.306583238,369
20170228-NO-3425,250-500 6 peaks (4 and 3),33.21026097263345,10.20833333,41.45833333,29.375,21.45833333,102.5,15.262293448992322,232.93760132315396,281,2077.1413690950358,10.0,2632.5520834999998,693.22916665,110.572916675,21360.41667,3229.7662141789074,10431389.79825155,280
20170301–0-3425,80-250 4 peaks (3 and 2),44.121139644279964,10.20833333,45.625,29.58333333,19.79166667,582.0833333,52.73587428542077,2781.0724366477034,993,861.3304351615625,10.0,755.1041667,202.8125,41.5625000025,15599.375,1685.9576947315488,2842453.3484245185,992
20170301–0-3425,80-250 5 peaks (3 and 2),53.15312213050964,11.04166667,56.09375,36.145833335,26.04166667,582.0833333,59.0199584822278,3483.355499243893,726,1185.7419540062483,10.0,1097.708333,224.1666667,41.875,17958.33333,2395.4591026070957,5738224.312263193,725
20170301–0-3425,80-250 6 peaks (3 and 2),61.000362319060876,11.04166667,65.52083333499999,41.25,31.25,582.0833333,63.93716332645816,4087.960854234186,575,1503.7924651742337,10.0,1327.4479167499999,256.66666665,41.875,53656.04167,3662.52056386127,13414056.880706677,574
20170301–0-3425,80-250 4 peaks (4 and 3),34.01718455776836,10.20833333,40.20833333,27.91666667,19.79166667,187.9166667,22.172860422681847,491.63573932373095,354,2509.1879131062888,10.20833333,2575.416667,542.2916667,112.0833333,54678.54167,5617.867315766184,31560433.177553948,353
20170301–0-3425,80-250 5 peaks (4 and 3),39.99828532271605,11.875,48.645833335,33.125,25.625,187.9166667,23.926788530346,572.4912093758968,243,3669.693526205785,10.41666667,3950.26041675,774.8958333,148.43749997499998,59748.75,7550.14611945133,57004706.42506598,242
20170301–0-3425,80-250 6 peaks (4 and 3),46.587771203727804,11.875,55.625,40.20833333,29.79166667,187.9166667,25.6757465415368,659.243960465239,169,5291.977926718631,10.41666667,5529.99999975,1740.9375,260.8333333,59748.75,9174.418380561552,84169952.62158567,168
